order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
21412	2022-01-10	CAPMATIC MONTREAL-NORD,PBQARRIE,ON 293.75CA 215.00 78.75 21413 14/01/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 187.50CA 100.00 87.50 21414 18/01/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 140.63CA 75.00 65.63 21415 20/01/2022	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75					2022
21416	2022-01-24	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 281.25CA 150.00 131.25 21417 27/01/2022	ENVIREM ORGANICS MIRAMICHI,NB	VIRGIL,ON	2400.0	2000.0	400.0					2022
21422	2022-01-31	CAPMATIC MONTREAL-NORD,PMQONTREAL-NORD,PQ 0.08CA 0.00 0.08 21423 07/02/2022	EMBALLAGES AT MIRABEL,PQ	SAINT-QUENTIN,NB	1062.5	900.0	162.5					2022
21418	2022-02-01	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,000.00CA 900.00 100.00 21419 31/01/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 93.75CA 50.00 43.75 21420 02/02/2022 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,000.00CA 900.00 100.00 21421 01/02/2022	CAPMATIC LACHINE,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75					2022
21425	2022-02-08	CASCADES SONOCO INC. BERTHIERVILLE,PQBIRMINGHAM,AL 1,906.25CA 1,400.00 506.25 21426 07/02/2022 CASCADES SONOCO INC. BERTHIERVILLE,PQRICHMOND,VA 687.50CA 525.00 162.50 21427 09/02/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 234.38CA 125.00 109.38 21428 14/02/2022	GMJ LOGISTIQUE RED DEER,AB	MONTREAL-EST,PQ	3200.0	2800.0	400.0					2022
21429	2022-02-10	SCOTTS	CANADA LTD MIRAMICHI,NB	VERCHERES,PQ	1300.0	1000.0	300.0					2022
21430	2022-02-11	EMBALLAGES	AT MIRABEL,PQ	NEEPAWA,MB	1500.0	1350.0	150.0	2338.2367403588105		0.5774	0.0642	2022
21431	2022-02-14	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,000.00CA 800.00 200.00 21432 14/02/2022	EMBALLAGES AT CAMBRIDGE,ON	MIRABEL,PQ	375.0	309.57	65.43					2022
21433	2022-02-15	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,200.00CA 950.00 250.00 21434 15/02/2022	GMJ LOGISTIQUE SHERBROOKE,PQ	MONTREAL-EST,PQ	205.0	125.0	80.0					2022
21435	2022-02-15	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 187.50CA 100.00 87.50 21436 16/02/2022	EMBALLAGES AT MIRABEL,PQ	ST-JOHN,NB	525.0	425.0	100.0					2022
21446	2022-02-25	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75	21.62309753600889		2.3123	2.0233	2022
21437	2022-02-28	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,200.00CA 900.00 300.00 21438 22/02/2022	SCOTTS CANADA LTD MIRAMICHI,NB	VERCHERES,PQ	1300.0	1000.0	300.0					2022
21441	2022-02-28	CAPMATIC MONTREAL-NORD,PTQUSTIN,CA 7,031.25CA 6,500.00 531.25 21442 21/02/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 93.75CA 50.00 43.75 21443 07/04/2022 SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,800.00CA 2,500.00 300.00 21444 24/02/2022	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75					2022
21447	2022-03-01	EMBALLAGES	AT HOT SPRINGS,AR	MIRABEL,PQ	605.0	550.29	54.71	2432.118128497648		0.2263	0.0225	2022
21448	2022-03-01	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 234.38CA 125.00 109.38 21449 07/03/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 375.00CA 200.00 175.00 21450 09/03/2022	THEATRIXX TECHNOLOGIES MONTREAL,PQ	WORCESTER,MA	1495.0	1050.0	445.0					2022
21455	2022-03-11	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 450.00CA 235.00 215.00 21456 14/03/2022 CAPMATIC MONTREAL-NORD,PBQOUCHERVILLE,PQ 150.00CA 115.00 35.00 21457 01/04/2022 CAPMATIC MONTREAL-NORD,PAQNAHEIM,CA 8,450.00CA 7,627.50 822.50 21458 18/03/2022	SCOTTS CANADA LTD MIRAMICHI,NB	L'ORIGNAL,ON	1700.0	1400.0	300.0					2022
21451	2022-03-15	SCOTTS	CANADA LTD MIRAMICHI,NB	VERCHERES,PQ	1500.0	1250.0	250.0					2022
21445	2022-03-16	SCOTTS	CANADA LTD MIRAMICHI,NB	L'ORIGNAL,ON	1800.0	1600.0	200.0					2022
21459	2022-03-18	EMBALLAGES	AT MIRABEL,PQ	SAINT-PAMPHILE,PQ	975.0	800.0	175.0	432.8666097761423		1.8481	0.4043	2022
21460	2022-03-21	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	22.48736113281714		5.114	1.5564	2022
