order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
21401	2022-01-04	SCOTTS CANADA LTD			1000.0	900.0	100.0					2022.0
21405	2022-01-05	SCOTTS CANADA LTD			875.0	750.0	125.0					2022.0
21408	2022-01-06	CRISTAL IINOVATION			0.0	0.0	1000.0					2022.0
21412	2022-01-10	CAPMATIC			293.75	215.0	78.75					2022.0
21407	2022-01-11	SCOTTS CANADA LTD			875.0	750.0	125.0					2022.0
21409	2022-01-11	SCOTTS CANADA LTD			1000.0	900.0	100.0					2022.0
21413	2022-01-14	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	187.5	100.0	87.5	18.765		5.3291	4.6629	2022.0
21414	2022-01-18	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	140.63	75.0	65.63	18.765		3.9968	3.4975	2022.0
21415	2022-01-20	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75	43.72		1.1436	1.0007	2022.0
21416	2022-01-24	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	281.25	150.0	131.25	18.765		7.9936	6.9944	2022.0
21411	2022-01-25	SCOTTS CANADA LTD			1000.0	900.0	100.0					2022.0
21410	2022-01-26	SCOTTS CANADA LTD			1000.0	900.0	100.0					2022.0
21417	2022-01-27	ENVIREM ORGANICS	MIRAMICHI,NB	VIRGIL,ON	2400.0	2000.0	400.0	1491.494		1.3409	0.2682	2022.0
21419	2022-01-31	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75	18.765		2.6645	2.3315	2022.0
21422	2022-01-31	CAPMATIC			0.08	0.0	0.08					2022.0
21418	2022-02-01	SCOTTS CANADA LTD			1000.0	900.0	100.0					2022.0
21421	2022-02-01	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75	41.382		1.2083	1.0572	2022.0
21420	2022-02-02	SCOTTS CANADA LTD			1000.0	900.0	100.0					2022.0
21423	2022-02-07	EMBALLAGES AT	MIRABEL,PQ	SAINT-QUENTIN,NB	1062.5	900.0	162.5	697.391		1.2905	0.233	2022.0
21426	2022-02-07	CASCADES SONOCO INC.			687.5	525.0	162.5					2022.0
21425	2022-02-08	CASCADES SONOCO INC.			1906.25	1400.0	506.25					2022.0
21424	2022-02-09	EMBALLAGES AT	SAINT-QUENTIN,NB	MIRABEL,PQ	906.25	750.0	156.25	696.817		1.0763	0.2242	2022.0
21427	2022-02-09	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	234.38	125.0	109.38	18.765		6.6613	5.8289	2022.0
21429	2022-02-10	SCOTTS CANADA LTD	MIRAMICHI,NB	VERCHERES,PQ	1300.0	1000.0	300.0	741.1946992180209		1.3492	0.4048	2022.0
21430	2022-02-11	EMBALLAGES AT	MIRABEL,PQ	NEEPAWA,MB	1500.0	1350.0	150.0	2468.76		0.5468	0.0608	2022.0
21428	2022-02-14	GMJ LOGISTIQUE	RED DEER,AB	MONTREAL-EST,PQ	3200.0	2800.0	400.0	4244.659		0.6597	0.0942	2022.0
21431	2022-02-14	SCOTTS CANADA LTD			1000.0	800.0	200.0					2022.0
